Chip Run Info,Z:\Projects\Reprogramming\Fluidigm Projects\BioMark Data\BioMark Data\OAC1 Polycistronic Reprogrraming Compiled\OAC1 Polycistronic Reprogramming Combined\ChipRun.bml,Combined Chip Run,96.96 (136x),GE 96x96 Fast v2,ROX,FAM-MGB,9/17/2014 2:19:36 PM,00:25:20,BIOMARKHD227
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Heatmap Results : Inlet-based View
Quality Threshold,0.4
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


FAM-MGB Ct
,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,,
,,TET1,PHC1,MBD3,SNAI2,FOXD1,FOSB,CD44,GABRB3,SOX2,ZNF281,SP1,LEFTY1,SET,CBX7,UTF1,CDH2 (NCAD),HNF4A,TGFBR2,DUSP10,ESRRB,MYC,ZFP42 (REX1),TRIM28,CD48,CDKN1A,JMJD3,RNF2,LATS2,T,FGF2,LCK,KLF5,KLF4,NACC1,FBXO15,CD4,DNMT3L,EZH2,EED,SMARCC2,MyoD1,NODAL,CDH1,DPPA4,LEFTY2,RIF1,ETV5,CD3D,DNMT3B,KDM5A,JARID2,LOX,Sox1,Wnt3,Gata6,DPPA2,SALL1,NR0B1(DAX1),TCF3,PTPN6,USP16,SETD1A,HDAC2,LUM,SOX13,SMAD4,SEMA6A,GAL,SALL4,REST,HESX1,CCR7,PRDM14,JMJD2B,COL3A1,GREM1,TCL1A,DVL2,APOE,LRRN1,STAT3,OTX2,CCND1,STEMCCA-P2A,TET2,KAT7 (Myst),TDGF1,Eomes,MASP1,KDR,GDF3,NANOG,ZIC3,LIN28A,POU5F1,GAPDH,,
001,Positive Control,21.1819133050754,17.5529419716366,25.9967987956906,19.230510141466,21.5715758741302,999,17.6683494423053,20.0919023052834,17.7971245986946,20.9234126119899,21.4503232207807,999,19.4026359806268,26.0534723934856,999,19.4134675429515,999,20.7467453219815,24.820524239193,24.664157157331,20.286294558875,19.1186497624207,17.1343573825738,999,18.8328272609404,22.7486891209793,19.7080420688275,22.7520662957522,999,17.6144763447566,22.3789973429145,24.4288349150338,22.3312876935432,19.2309625728078,999,999,999,21.4771261616259,22.36195157599,20.5736197089338,999,23.2602520540137,18.2639757330694,999,999,20.5973702664014,22.4129750527285,999,16.4467999236299,20.8972450625413,19.2435956185838,17.8045021444056,999,999,999,999,20.9458693907763,999,21.1119442347156,23.6593289068046,21.9122314419176,20.9414381186017,19.1949906364306,17.5646696323212,20.2024493083862,20.3340472430687,18.3112459203479,21.3825667972912,18.5621291692126,19.9425095670055,23.5298684436723,999,21.0995431438994,27.2682750286879,16.3319916846432,17.61352317613,999,22.3511071715156,19.3473215114288,18.9790813252237,19.0863080657725,20.7204098759819,18.6188516039399,999,23.5970857178974,22.1886837890845,17.4266986873707,999,17.6319405671469,21.749024539617,22.2311802620066,20.4696708409145,21.3348842215713,15.330000571986,17.6347573496404,13.7695403135459,,
002,D7 SSEA4+ Tra1-60-  17,999,24.7812859971339,999,21.6071631954346,19.396776979057,999,18.5267426950244,999,999,23.312637598889,23.5482292128439,999,22.3553067837809,999,999,20.7546281557512,999,21.9127633382065,999,999,23.4596982769577,999,21.4004808721043,999,19.5843373879572,22.6790468590902,21.6261349640587,25.8815303200049,999,21.5108779401866,999,24.6001626418427,23.4698156012062,22.1899255545118,999,999,999,999,999,22.6674626845135,999,999,999,999,999,25.0395010623144,25.4542584612993,999,999,21.5922156571252,21.8044443079296,18.6528073004522,999,999,999,999,25.7483922049562,999,27.141963110613,999,22.4913493323727,24.6668560852579,22.7049656424426,21.397495738135,999,24.6643680648066,999,999,999,999,999,999,999,999,18.2961502274399,19.4228417373799,999,999,999,999,24.0198503571725,999,18.6827892810972,17.4893545288461,999,22.1992674791229,999,999,21.6914662872292,999,999,24.306319037067,999,999,999,15.6656781041984,,
003,D7 SSEA4+ Tra1-60-  26,999,24.2133756449357,999,19.6438752646246,19.792384024693,999,18.5660438137714,999,999,23.4371299016812,22.1103627670406,999,20.6335188353041,999,999,22.2871514463318,999,21.8985674068216,24.8492309134926,999,21.8857814319014,999,20.4301357862795,999,21.0634218667371,999,22.695607420485,22.5403567300957,999,23.5722354848256,999,999,21.8480859070081,21.0007925513576,999,999,999,999,24.5131272726115,20.4036497488738,999,999,22.6507464375857,999,999,23.6327171974112,23.8993993297446,999,999,24.943771492286,23.3883828777552,19.2577302271964,999,999,999,999,999,999,26.2616556876376,999,22.7643730367176,21.2699321478473,22.7888430805517,21.0844809595808,999,22.7318568960035,999,24.0681452021557,999,999,999,999,999,999,17.8183991482034,999,999,22.4622077356776,999,999,999,999,19.9077065445147,17.3314794229874,25.5047462135447,22.657285805873,999,999,20.9158684748683,999,999,999,999,999,999,14.9343641911288,,
004,D11 SSEA4+ Tra1-60-  1,999,22.2257151120839,999,22.1764633072819,999,999,22.2784492351197,999,999,24.1243876494684,23.7998230538403,999,22.8549353827872,999,999,25.1437885573158,999,21.9398044952183,999,999,21.2968846688537,999,26.4429045823295,999,22.3935904036429,999,999,24.1671638099795,999,28.3065017539268,999,24.3672870594516,21.2816859657494,24.5645005926964,999,999,999,999,999,23.1743488917324,999,999,23.7808733892736,999,999,999,999,999,999,999,23.3555134171888,21.4306267168745,999,999,999,999,23.812736528897,999,26.4253886871204,999,24.6924054739687,24.9883756778865,25.3476699819564,21.6491763963215,24.572500382018,23.1355593565298,999,999,23.3707575272459,999,999,999,999,999,18.2582599278574,999,999,999,22.4059884805623,999,22.5365529309227,999,20.5348397822144,16.6431625565254,23.4297117804786,23.1714795051306,999,999,22.0611904570859,999,21.7640849968369,22.9148137189847,999,999,999,17.5567770887468,,
005,D11 SSEA4+ Tra1-60-  9,999,22.2293870574384,999,22.762765873707,24.09159154849,999,22.7429853801271,999,999,23.9633065838545,24.2126110277881,999,23.6916471786241,999,999,999,999,999,999,999,21.9121934659941,999,22.7848826232659,999,20.5792757397601,999,23.4552735525969,23.4158247172366,999,999,999,25.1933629402204,999,22.7552662856046,999,999,999,999,999,22.5191737143138,999,999,999,999,999,999,26.0186918176492,999,999,25.0991424257329,23.0473596477975,21.8398864757612,999,999,999,999,24.2311944970916,999,999,999,22.2692254739786,23.2890857749651,24.8043480015539,22.733512335769,23.4358148022507,24.2780085941594,999,999,21.6296492684803,999,999,999,999,999,16.2772510906105,999,999,999,24.7485519422171,999,24.5736353880335,999,22.1897534310615,17.0230633980058,999,23.4656070577879,999,999,24.1045535524571,999,999,999,999,999,999,17.5653608707082,,
006,D11 SSEA4+ Tra1-60-  17,999,22.9414432630615,999,22.5790487619809,21.6141426090073,999,18.5435932575744,999,999,23.4523686514853,999,999,22.3437215255919,999,999,999,999,22.0448676247755,999,999,21.9781426649316,999,23.7503791404646,999,18.2819575677089,999,21.5534052594678,999,999,999,999,25.7630653065617,999,22.8023512799073,999,999,999,999,999,22.6843630596474,999,999,22.687721589999,999,999,22.7714452460743,23.3469072704803,999,999,23.0904049024103,999,20.3088712538133,999,999,999,999,22.1058048194897,999,999,999,23.7748894671635,22.2870968027834,22.7068639621781,19.4878763346676,999,22.3357519635723,999,999,999,999,999,999,999,999,16.0749649021087,999,999,999,999,999,22.3385429771416,999,19.5255166653052,16.6922799950379,24.4961680187051,21.5363231847427,999,999,999,999,23.0322118957871,26.3019334646364,999,999,999,16.295175176785,,
007,D14 SSEA4+ Tra1-60-  1,999,999,999,999,23.5802694312288,999,20.3943202774794,999,22.0396432665553,24.8258381402011,23.2064873930854,999,20.1919462652962,999,23.0194970098034,21.3950562528998,999,999,999,999,22.3782168853531,999,21.5075972603034,999,24.039456404884,999,21.3451646865367,23.0682716385329,999,24.4024863054603,999,23.3563722506241,22.8188677738739,23.2885880148598,999,999,22.4592712163802,999,999,25.3375805537701,999,999,20.0332929622725,999,20.3655635573726,21.7399591758122,999,999,23.0697289682362,24.6652920309531,21.5646023878949,23.7450672221609,999,999,999,999,23.6629697940748,999,999,999,21.3247041799131,22.1570663868779,22.0368614692069,999,999,999,19.7364738730212,24.6919352665527,22.2591415658216,999,999,999,20.7505185405796,999,999,999,999,25.7504391889926,999,999,21.4768108777151,999,20.8864346365217,16.1379016063445,22.4680712014576,24.150446303773,21.1765562254429,999,999,999,22.852751741073,21.2352538966246,28.9096449044289,23.6076516702059,17.7297647153858,16.2048509176217,,
008,D14 SSEA4+ Tra1-60-  11,999,21.0777313857887,999,999,23.6256960301113,999,25.3663732936862,999,21.8689573080866,25.2781415877714,26.8782532401479,27.2682412987661,21.7983064255454,999,21.7254055522062,23.8598329363825,999,999,999,999,22.9127759178217,21.8205308805868,21.6186708828594,999,999,999,21.829495976734,24.4549828777415,999,999,999,999,999,23.7676425610355,999,999,999,999,999,23.3827468873427,999,28.3939235712981,21.4815975580882,999,22.3275504074795,999,999,999,21.5605024452873,999,24.9780390481052,999,999,999,999,23.6951543537433,999,999,999,999,22.1925890075377,21.4544670915378,23.7008551245556,999,999,24.9369406973527,21.1080769294909,23.8815108060919,23.1116977244831,999,999,999,21.0903329734183,999,999,999,999,26.668747875457,22.6355600463965,23.7425004948556,21.2254336204995,25.5064639960148,24.1820043942243,16.7721889532171,23.7867025178209,23.2009404433329,21.4107662282884,999,999,999,22.4601208867414,21.5070442465205,999,999,18.0703114752885,17.2404624444007,,
009,D14 SSEA4+ Tra1-60-  19,999,24.4811027547841,999,999,999,999,21.8439316071683,999,999,24.528207654922,23.3725293772977,999,21.8999033049987,999,22.5393559586245,22.932389581008,25.1637003033167,25.8908250143224,999,999,22.5662303788436,22.9873090039757,21.6780034174837,23.5491486707445,999,999,20.889627693844,25.9188125494382,999,999,999,24.9548559715541,24.0029947198683,22.92493458253,999,999,999,999,999,22.3120909434964,999,999,23.0182531523668,999,999,23.0228811825689,25.6815940074145,999,23.7000759044511,999,21.4930429072729,999,999,999,21.7291040828578,999,24.2862085801149,999,25.232936436809,999,21.2916188370431,22.171327431168,23.6616892728594,999,999,22.7814125982614,999,999,23.9045573064463,999,999,999,999,999,23.0584650948882,999,999,26.5765652778072,23.8547647894647,999,999,999,22.2344950256783,16.9808890352381,24.6001850785834,23.6599568089508,23.2180073487865,999,999,23.8312231304671,23.079532321427,22.9310352034241,999,999,18.2548894886874,17.0766872427697,,
